Priority,Status,Assignee,Reporter,Creator,Date Created,Date Updated,Date Resolved,Time Spent,Time Spent (Without Outliers),Repair Time,Repair Time (Without Outliers),completed,open,failed_fix,assigned,last28,Assigned to a Developer,Created by a Developer,Reported by a Developer
2 - Minor,Resolved,NancyKraus,DanielBiester,DanielBiester,2018-01-10,2018-02-06,2018-02-06,27,27,27,27,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
2 - Minor,Resolved,NancyKraus,NancyKraus,NancyKraus,2018-01-08,2018-02-06,2018-02-06,29,29,29,29,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
2 - Minor,Resolved,JohnSieck,RyanScranton,RyanScranton,2017-12-08,2018-02-06,2018-02-06,60,60,60,60,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2 - Minor,Todo,NA,RyanScranton,RyanScranton,2017-05-25,2018-01-31,NA,251,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Todo,NA,MattChild,MattChild,2017-04-26,2018-01-31,NA,280,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE
2 - Minor,Todo,NA,DanielBiester,DanielBiester,2017-06-20,2018-01-31,NA,225,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE
2 - Minor,Todo,NA,MattChild,MattChild,2017-07-31,2018-01-31,NA,184,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE
2 - Minor,Todo,NA,RyanScranton,RyanScranton,2017-09-05,2018-01-31,NA,148,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Todo,NA,DanielBiester,DanielBiester,2017-06-20,2018-01-31,NA,225,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE
2 - Minor,Todo,NA,BrittanyMcCray,BrittanyMcCray,2017-07-24,2018-01-31,NA,191,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Todo,NA,RyanScranton,RyanScranton,2017-06-21,2018-01-31,NA,224,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Todo,NA,MattChild,MattChild,2017-06-06,2018-01-31,NA,239,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE
2 - Minor,Todo,NA,RyanScranton,RyanScranton,2017-05-15,2018-01-31,NA,261,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Todo,NA,RyanScranton,RyanScranton,2017-04-28,2018-01-31,NA,278,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Todo,NA,RyanScranton,RyanScranton,2017-04-28,2018-01-31,NA,278,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Todo,NA,RyanScranton,RyanScranton,2017-04-28,2018-01-31,NA,278,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Todo,NA,JohnSieck,JohnSieck,2018-01-30,2018-01-31,NA,1,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Todo,NA,JohnSieck,JohnSieck,2018-01-30,2018-01-31,NA,1,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Todo,NA,JohnSieck,JohnSieck,2018-01-30,2018-01-31,NA,1,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Todo,NA,SamYoung,JohnSieck,2017-12-07,2018-01-31,NA,55,55,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Todo,NA,RyanScranton,RyanScranton,2018-01-31,2018-01-31,NA,0,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Todo,NA,RyanScranton,RyanScranton,2018-01-31,2018-01-31,NA,0,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Reopened,NA,PeteSchatz,PeteSchatz,2017-07-24,2018-01-22,NA,182,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE
2 - Minor,Resolved,PeteSchatz,NancyKraus,NancyKraus,2018-01-09,2018-01-22,2018-01-22,13,13,13,13,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
2 - Minor,Todo,NA,NancyKraus,NancyKraus,2018-01-16,2018-01-16,NA,0,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE
2 - Minor,Todo,NA,RyanScranton,RyanScranton,2017-10-04,2018-01-15,NA,103,103,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Todo,NA,NancyKraus,NancyKraus,2018-01-12,2018-01-12,NA,0,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE
2 - Minor,Todo,NA,BradNeal,BradNeal,2017-05-12,2018-01-03,NA,236,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Todo,NA,MattChild,MattChild,2017-07-31,2018-01-03,NA,156,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE
2 - Minor,Todo,NA,MattChild,MattChild,2017-07-31,2018-01-03,NA,156,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE
2 - Minor,Todo,NA,RyanScranton,RyanScranton,2017-12-14,2017-12-19,NA,5,5,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Resolved,MatthewDavis,RyanScranton,RyanScranton,2017-12-01,2017-12-14,2017-12-14,13,13,13,13,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2 - Minor,Todo,NA,RyanScranton,RyanScranton,2017-12-08,2017-12-08,NA,0,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Todo,NA,MatthewDavis,MatthewDavis,2017-12-06,2017-12-07,NA,1,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Todo,NA,RyanScranton,RyanScranton,2017-11-30,2017-12-04,NA,4,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Todo,NA,MattChild,MattChild,2017-10-27,2017-11-01,NA,5,5,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE
2 - Minor,Todo,NA,RyanScranton,RyanScranton,2017-06-30,2017-10-27,NA,119,119,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Todo,NA,DavidTuell,DavidTuell,2017-04-13,2017-10-27,NA,197,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE
2 - Minor,Todo,NA,MattChild,MattChild,2017-04-18,2017-10-23,NA,188,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE
2 - Minor,Todo,NA,JohnSieck,JohnSieck,2017-10-23,2017-10-23,NA,0,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Resolved,DanielBiester,RyanScranton,RyanScranton,2017-10-03,2017-10-11,2017-10-11,8,8,8,8,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
2 - Minor,Resolved,DanielBiester,RyanScranton,RyanScranton,2017-09-26,2017-10-11,2017-10-11,15,15,15,15,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
2 - Minor,Resolved,MatthewDavis,RyanScranton,RyanScranton,2017-09-11,2017-10-10,2017-10-10,29,29,29,29,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2 - Minor,Resolved,DanielBiester,RyanScranton,RyanScranton,2017-10-03,2017-10-04,2017-10-04,1,NA,1,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
2 - Minor,Todo,NA,RyanScranton,RyanScranton,2017-10-03,2017-10-03,NA,0,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Resolved,DavidTuell,BradNeal,BradNeal,2016-11-17,2017-10-03,2017-10-03,320,NA,320,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
2 - Minor,Resolved,DavidTuell,BradNeal,BradNeal,2017-01-26,2017-10-03,2017-10-03,250,NA,250,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
2 - Minor,Resolved,NA,BradNeal,BradNeal,2017-01-19,2017-10-03,2017-10-03,257,NA,257,NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
2 - Minor,Resolved,LeeWheless,BradNeal,BradNeal,2017-02-08,2017-10-03,2017-10-03,237,NA,237,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
